Condition,Success,Suc_change,Cov,Cov_change,PPT_No
External,92.82957083,Decrease,2.38,Decrease,1
External,80.26951719,Decrease,3.68,Decrease,2
External,96.99241875,Decrease,1.48,Decrease,3
External,94.73117865,Decrease,1.93,Decrease,4
External,91.30321641,Decrease,2.69,Decrease,5
External,91.38895885,Decrease,2.74,Decrease,6
External,90.44266771,Decrease,2.83,Decrease,7
External,93.25287768,Decrease,4.03,Decrease,8
External,89.25477031,Decrease,3.11,Decrease,9
External,92.90705537,Decrease,2.61,Decrease,10
External,85.76779505,Decrease,3.16,Decrease,11
External,90.28680391,Decrease,2.71,Decrease,12
External,89.14461593,Decrease,3.11,Decrease,13
External,94.62321953,Decrease,2.36,Decrease,14
External,92.82366953,Decrease,2.47,Decrease,15
External,84.43861354,Decrease,3.23,Decrease,16
External,90.33054297,Decrease,2.44,Decrease,17
External,93.36277083,Decrease,2.23,Decrease,18
External,91.90098359,Decrease,2.39,Decrease,19
External,75.44919479,Decrease,4.81,Decrease,20
External,86.19060599,Decrease,3.34,Increase,21
External,91.43304505,Decrease,2.3,Decrease,22
External,94.96549505,Decrease,2.19,Decrease,23
External,91.23205365,Decrease,2.67,Increase,24
External,86.11458333,Increase,2.92,Increase,25
External,91.39798437,Decrease,2.93,Decrease,26
External,87.13516146,Decrease,2.81,Decrease,27
Internal,87.23895495,Decrease,3.29,Decrease,1
Internal,60.67015238,Decrease,5.98,Decrease,2
Internal,95.07310703,Decrease,1.82,Decrease,3
Internal,87.3774522,Decrease,3.87,Decrease,4
Internal,78.69039818,Decrease,4.37,Decrease,5
Internal,70.13177448,Decrease,5.37,Decrease,6
Internal,81.42790807,Decrease,3.89,Decrease,7
Internal,89.68209401,Decrease,4.71,Decrease,8
Internal,83.24898047,Decrease,3.93,Decrease,9
Internal,89.42556094,Decrease,3,Decrease,10
Internal,62.31116068,Decrease,5.98,Decrease,11
Internal,82.06351302,Decrease,4.01,Decrease,12
Internal,77.52784167,Decrease,5.37,Decrease,13
Internal,92.28699818,Decrease,2.65,Decrease,14
Internal,75.99421723,Decrease,3.93,Decrease,15
Internal,81.57787057,Decrease,3.34,Decrease,16
Internal,76.29377526,Decrease,4.27,Decrease,17
Internal,86.88140547,Decrease,3.11,Decrease,18
Internal,76.58953463,Decrease,4.22,Decrease,19
Internal,66.11797966,Decrease,8.6,Decrease,20
Internal,84.59586588,Decrease,3.32,Increase,21
Internal,84.53858854,Decrease,2.9,Decrease,22
Internal,79.49540521,Decrease,3.49,Decrease,23
Internal,90.32776589,Decrease,2.64,Increase,24
Internal,89.66577865,Increase,2.63,Increase,25
Internal,81.28384687,Decrease,4.59,Decrease,26
Internal,77.85900885,Decrease,4.26,Decrease,27
